date,day_name,day_of_week,is_weekend,month,week_of_year,weather,event_flag,event_name,menu_id,menu_name,unit_price,qty_sold,gross_sales
08/27/2025,Rabu,3,0,8,35,Cerah,1,Periode Gajian,ayam_geprek,Ayam Geprek,18000,57,1026000
08/27/2025,Rabu,3,0,8,35,Cerah,1,Periode Gajian,nasi_goreng,Nasi Goreng,22000,48,1056000
08/27/2025,Rabu,3,0,8,35,Cerah,1,Periode Gajian,kopi_susu,Kopi Susu,16000,60,960000
08/27/2025,Rabu,3,0,8,35,Cerah,1,Periode Gajian,es_teh_manis,Es Teh Manis,8000,84,672000
08/27/2025,Rabu,3,0,8,35,Cerah,1,Periode Gajian,mie_goreng,Mie Goreng Spesial,15000,36,540000
08/27/2025,Rabu,3,0,8,35,Cerah,1,Periode Gajian,sate_ayam,Sate Ayam,25000,24,600000
08/27/2025,Rabu,3,0,8,35,Cerah,1,Periode Gajian,bakso_sapi,Bakso Sapi,15000,49,735000
08/27/2025,Rabu,3,0,8,35,Cerah,1,Periode Gajian,soto_ayam,Soto Ayam,18000,40,720000
08/27/2025,Rabu,3,0,8,35,Cerah,1,Periode Gajian,es_jeruk,Es Jeruk,10000,78,780000
08/27/2025,Rabu,3,0,8,35,Cerah,1,Periode Gajian,gorengan,Gorengan,2000,141,282000
08/28/2025,Kamis,4,0,8,35,Hujan,1,Periode Gajian,ayam_geprek,Ayam Geprek,18000,55,990000
08/28/2025,Kamis,4,0,8,35,Hujan,1,Periode Gajian,nasi_goreng,Nasi Goreng,22000,43,946000
08/28/2025,Kamis,4,0,8,35,Hujan,1,Periode Gajian,kopi_susu,Kopi Susu,16000,44,704000
08/28/2025,Kamis,4,0,8,35,Hujan,1,Periode Gajian,es_teh_manis,Es Teh Manis,8000,58,464000
08/28/2025,Kamis,4,0,8,35,Hujan,1,Periode Gajian,mie_goreng,Mie Goreng Spesial,15000,37,555000
08/28/2025,Kamis,4,0,8,35,Hujan,1,Periode Gajian,sate_ayam,Sate Ayam,25000,26,650000
08/28/2025,Kamis,4,0,8,35,Hujan,1,Periode Gajian,bakso_sapi,Bakso Sapi,15000,52,780000
08/28/2025,Kamis,4,0,8,35,Hujan,1,Periode Gajian,soto_ayam,Soto Ayam,18000,43,774000
08/28/2025,Kamis,4,0,8,35,Hujan,1,Periode Gajian,es_jeruk,Es Jeruk,10000,53,530000
08/28/2025,Kamis,4,0,8,35,Hujan,1,Periode Gajian,gorengan,Gorengan,2000,166,332000
08/29/2025,Jumat,5,0,8,35,Cerah,1,Periode Gajian,ayam_geprek,Ayam Geprek,18000,51,918000
08/29/2025,Jumat,5,0,8,35,Cerah,1,Periode Gajian,nasi_goreng,Nasi Goreng,22000,45,990000
08/29/2025,Jumat,5,0,8,35,Cerah,1,Periode Gajian,kopi_susu,Kopi Susu,16000,62,992000
08/29/2025,Jumat,5,0,8,35,Cerah,1,Periode Gajian,es_teh_manis,Es Teh Manis,8000,84,672000
08/29/2025,Jumat,5,0,8,35,Cerah,1,Periode Gajian,mie_goreng,Mie Goreng Spesial,15000,39,585000
08/29/2025,Jumat,5,0,8,35,Cerah,1,Periode Gajian,sate_ayam,Sate Ayam,25000,26,650000
08/29/2025,Jumat,5,0,8,35,Cerah,1,Periode Gajian,bakso_sapi,Bakso Sapi,15000,41,615000
